"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
39,280,"Should there be no limit to freedom of speech?","Unlimited freedom of speech can be used to spread hateful and/or harmful ideologies",13,82.77108,21.80723,0,5056.80800000008
40,128,"Is Science Akin To Religion?","There exist many kinds of different religions, some are akin to science, and some are not",16,83.61446,55.90361,0,6621.34859999991
41,60,"Do electronic devices help or hurt children's development?","Devices can negatively affect children's social and psychological development",9,80.24096,11.56627,0,11839.0462000005
42,37,"Is Darwinian Evolution Philosophy or Science?","Darwin's theory has logical flaws and is therefore hardly in the realm of science",14,17.46988,5.78313,0,7150.14480000036
43,289,"Should we adapt to climate change rather than avert it?","Adaptation is a short-term solution, whereas averting climate change is a long-term solution",13,65.54217,74.81928,0,9554.26779999992
44,101,"Is it ethically wrong to watch pornography?","Masturbation is natural and beneficial, and porn is a useful masturbation aid",12,99.15663,59.27711,0,3386.93219999981
45,107,"Is it ethically wrong to watch pornography?","Watching pornography contributes to human rights abuses, including gender inequality",10,66.0241,6.62651,0,5312.26859999989
46,272,"Should there be no limit to freedom of speech?","Censorship leads to narrow mindedness by preventing sincere and open discussion",11,98.79518,32.53012,0,6967.24959999998
47,149,"Is modern technology a disadvantage to society?","Relying too heavily on technology makes a society vulnerable",9,91.56627,33.73494,0,9741.96299999964
48,217,"Is Eating Meat Wrong?","Consuming meat is an important part of many cultures and religions",11,71.92771,27.3494,0,3166.75720000034
49,246,"Should all drugs be legalised?","If drugs were legalised, the drug trade would be less able to fuel serious crime",15,84.21687,70.72289,0,9333.11440000031
50,222,"Should the use of plastic be avoided?","Plastics are exported and, therefore, less plastic reduces emissions that result from transportation",13,86.38554,81.80723,1,6850.2925999997
51,151,"Is modern technology a disadvantage to society?","We are unable to enjoy the present moments in our life due to technology",14,100,0,0,5192.1370000001
52,23,"Are Humans fundamentally different from other animals?","Humans have a sense of self-awareness and individual identity",9,96.38554,91.08434,0,4191.5116000002
53,167,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","If people have the right to choose, they could make biased choices regarding which foetuses to abort",17,57.59036,41.80723,0,18039.3332000002
54,247,"Should all drugs be legalised?","Using drugs can be an important and positive experience for individuals and communities",13,29.87952,43.01205,0,5779.85939999984
55,123,"Is Science Akin To Religion?","Science is highly dynamic and constantly evolving; religions are usually static and conservatory",13,58.91566,50,0,7087.44260000042
56,153,"Is modern technology a disadvantage to society?","Our society is changing at a pace that must be matched by technological development to prevent disaster",17,36.98795,39.39759,0,8525.0872000003
57,161,"Should some people feel obliged to change their lifestyle to combat global warming?","People in today's society should change their lifestyles because the quality of life of future generations is equally important",19,76.74699,63.49398,0,8463.10640000016
58,202,"Should the sale of genetically modified food be banned?","Genetically modified crops can work towards mitigating world hunger and nutritional deficiencies",12,78.6747,76.98795,1,4624.67279999994
59,198,"Should Sex Work Be Legal?","The legalisation of sex work increases its prevalence, resulting in more harm",12,13.61446,28.91566,0,7173.08259999973
60,204,"Should the sale of genetically modified food be banned?","GMOs are more cost effective than unmodified foods, bringing many benefits",11,80.96386,83.01205,0,1425.80939999991
61,249,"Should all drugs be legalised?","Drugs should remain banned because they are detrimental to the health of those who use them",16,44.57831,50,0,3374.99360000028
62,227,"Should the use of plastic be avoided?","As long as it is reusable, there is nothing wrong with plastic",12,41.80723,51.56627,0,5391.63919999998
63,159,"Should some people feel obliged to change their lifestyle to combat global warming?","Changes to individual lifestyles do not make a difference",9,0,7.71084,0,3583.54120000044
64,21,"Are Humans fundamentally different from other animals?","Humans are intellectually superior to other beings on Earth",9,100,61.3253,0,4016.26779999991
65,117,"Is Science Akin To Religion?","Science and religion are similar in that both have been used to explain the origin of man",17,78.6747,55.18072,0,5291.64959999989
66,155,"Is modern technology a disadvantage to society?","Technologically backwards countries have no power on the global stage",10,31.44578,13.13253,0,4683.19260000007
67,47,"Did a divine being create the universe?","Many complex phenomena and interactions in the universe indicate the work of a creator",14,6.74699,50,0,13307.6378000005
68,242,"Will man-made climate change cause human extinction?","Man-made carbon emissions are likely to protect humans from another ice age",12,61.3253,26.62651,1,5391.45200000017
69,232,"Will man-made climate change cause human extinction?","If tipping points are reached, the collapse of ecosystems can lead to the extinction of the human race",18,60.12048,6.62651,0,20414.6650000004
70,190,"Should religion be involved in politics?","Almost all laws are based on moral beliefs, therefore it is appropriate for religious persons to be involved in politics",20,0,0,0,10203.7179999998
71,150,"Is modern technology a disadvantage to society?","Technology allows individuals to own or control property at a distance, lessening that individual's direct responsibility for the property",19,50,50,1,13766.5589999995
72,124,"Is Science Akin To Religion?","Unlike religion, science is based on evidence and experimentation, which is a more reliable methodology for attaining truth",18,100,59.27711,0,7241.65039999981
73,138,"Should lottery be an integral component of democratic political systems?","Politicians elected via lottery would be better at their job",10,38.43373,47.95181,1,6474.90880000021
74,214,"Is Eating Meat Wrong?","Ending the production of meat will be necessary in order to meet the growing food needs of the world's population",20,50.60241,68.07229,1,7117.60420000064
75,229,"Will man-made climate change cause human extinction?","The effects of global warming directly threaten the land and environment that humans need to live",16,90.60241,7.22892,0,6790.5976000008
76,121,"Is Science Akin To Religion?","Science and religion both need belief in something that you do not personally understand to function",16,35.66265,54.33735,0,11584.1658000003
77,162,"Should some people feel obliged to change their lifestyle to combat global warming?","People living in privileged positions have a moral responsibility to change their lifestyles",13,72.89157,68.07229,0,7167.89740000013
78,180,"Should animal testing be banned?","Animal testing is an effective method of testing products",9,64.81928,3.9759,0,2012.84879999969
79,126,"Is Science Akin To Religion?","Surveying definitions of religion shows a focus on divinity and spirituality, which are not present in Western science at all",20,42.89157,50,1,7824.77040000027
80,24,"Are Humans fundamentally different from other animals?","Humans have Human Consciousness which is ontologically and fundamentally different than any other form of consciousness",16,90.24096,61.92771,0,4900.17679999955
81,113,"Is radiation from cell phones and Wi-Fi harmful?","Cell phone radiation increases the permeability of the blood-brain barrier",10,50,84.21687,1,3708.8339999998
82,194,"Should religion be involved in politics?","Politics and religion should be put aside. Three aspects of life should NOT co-exist: religion-state-army",15,66.14458,62.6506,1,9900.94840000011
83,152,"Is modern technology a disadvantage to society?","Modern Technology is outpacing our ability to comprehend, write and approve any effective policy that can protect us from technological harm",21,87.10843,10.48193,0,13946.7536000002
84,130,"Is social media helping or harming human relationships?","Social media has made it easier to communicate, improving the quality of communication",13,35.78313,25.42169,0,5158.67660000024
85,136,"Should lottery be an integral component of democratic political systems?","Politics would be more representative under a lottery system",9,72.77108,50,1,5158.75919999962
86,54,"Do electronic devices help or hurt children's development?","Devices can benefit parents by offering them greater control over their children's development",13,55.66265,57.59036,0,7067.14060000074
87,49,"Did a divine being create the universe?","Science offers alternative explanations for the origin of the universe",10,87.95181,59.15663,0,3324.94660000014
88,188,"Should religion be involved in politics?","The involvement of religion in politics is necessary to ensure laws and policies are ethical",15,0,11.92771,0,6683.42960000038
89,140,"Should lottery be an integral component of democratic political systems?","There would be less corruption as every time the lottery happens, all the corruption would leave",16,42.77108,50,1,15996.259
90,212,"Is Eating Meat Wrong?","Eating meat, in the majority of cases, involves the cruel and immoral treatment of animals",15,100,0,0,4337.24899999937
91,196,"Should Sex Work Be Legal?","It is impossible to eradicate sex work as a profession. Therefore, it would be better to legalise it",18,87.10843,85.66265,0,3595.82080000057
92,56,"Do electronic devices help or hurt children's development?","Electronic devices help differently abled children read and write like other kids",12,62.04819,62.28916,0,4392.23079999979
93,176,"Should abortion be considered murder?","Equating abortion with murder would cause women to use unsafe methods and put their lives at risk",17,100,10.60241,0,7455.49039999931
94,112,"Is radiation from cell phones and Wi-Fi harmful?","Cell phone radiation is absorbed more by children's brains than by adult's brains",13,50,9.63855,1,4420.23080000049
95,115,"Is radiation from cell phones and Wi-Fi harmful?","The effects of cell phones and Wi-Fi are minimal at best",11,50,81.80723,1,4307.15339999949
96,216,"Is Eating Meat Wrong?","The taste of meat is delicious and brings many people pleasure in a manner that vegetarian food cannot fully imitate",20,41.80723,0,0,5987.7966000007
97,50,"Did a divine being create the universe?","Observations have dwindled for God's creative power as humanity has advanced",11,83.37349,72.77108,0,6480.10880000028
98,219,"Is Eating Meat Wrong?","Eating meat is a key element of human nature, evolution, and physiology/biology and thus its consumption is inherent to humankind",20,14.21687,7.10843,0,6017.61979999975
99,281,"Should there be no limit to freedom of speech?","One person's freedom ends where another's begins: offensive, threatening speech should be illegal",13,98.79518,60,0,13171.6278000006
100,143,"Should lottery be an integral component of democratic political systems?","Being appointed to a position of power by lottery would leave many people overwhelmed and unprepared",16,82.89157,44.6988,1,12743.0415999985
